a bad lot,калпазанин
небеса,heaven
небесен,celestial/heavenly
небесносин,cerulean
небето,skywards
небитие,nothingness
неблагодарен,ingrate
неблагодарник,ingrate
неблагодарност,ingratitude
неблагоприятен,adverse/foul/unfriendly
неблагоразумен,unwise
неблагоразумие,indiscretion
неблагоразумно,unadvisedly
неблагороден,base
небостъргач,sky-scraper
небрежен,casual/dishonest/forgetful/negligent/remiss/regardless/slipshod
небрежно,idly
небрежност,carelessness/neglect/negligence
небце,palate
невалиден,invalid/null/void
неведнаж,time and again
невежа,ignorant
невежество,dark/ignorance
невежлив,impolite
невен,marigold
неверен,disloyal
неверник,infidel/unbeliever
невероятен,incredible/improbable/steep/unbelievable
невеста,bride
невестулка,stoat/weasel
невзискателен,easy-going
невидим,invisible
невинен,childlike/innocent
невинност,innocence
невнимание,indiscretion
невнимателен,heedless/inadvertent/thoughtless
неволен,involuntary/reflex
неволя,woe
невоюващ,non-belligerent
невредим,scot-free/safe/unscathed
неврит,neuritis
невроза,neurosis
невръстен,infant
невчесан,unkempt
невъздържан,incontinent/intemperate
невъздържаност,intemperance
невъзможен,impossible
невъзмутим,imperturbable/placid
невъзпитан,caddish/cubbish/underbred
невъзпламеняем,incombustible
невъобразим,inconceivable
негатив,negative
негласен,tacit
него,him
негов,its/his
негова,its
негово,its
негоден,bum/ineligible/good-for-nothing/measly/unfitted/unemployable/waste/unfit
негодник,black guard/black sheep/hound/knave/rascal/rotter/rapscallion/scamp/scallywag/spalpeen
негодувам,resent
негодуване,indignation
негодувание,resentment
негодуващ,resentful
неграмотност,illiteracy
негри,negroes
негър,Jim Crow/blackamoor/blacky/darky/negro
недалеч,not far off
недвусмислен,emphatic
недействителен,invalid/void
недействителност,nullity
неделен,Sunday/sabbatical
неделикатен,thoughtless
неделим,indivisible
неделя,Sunday/sabbath
недискретен,leaky
недисциплиниран,insubordinate/recalcitrant
недобор,arrear
недобре,unwell
недоброжелателен,malevolent
недоварен,half-done
недоверие,distrust
недоверчив,incredulous
недоволен,disaffected/disgruntled/jaundiced/murmurous/malcontent
недоволство,dissatisfaction/discontent
недовършен,half-baked
недоглеждам,overlook
недоглеждане,oversight
недодялан,clownish/cloddish/crude/loutish/rough-hewn/rustic/uncouth
недодялано,crudely
недодяланост,angularity
недоимък,dearth/deficiency
недоловим,inappreciable
недомлъвка,implication
недоносче,abortion
недообмислен,half-baked
недопечен,half-baked/half-done
недопустим,unwarrantable
недоразвит,rudimentary/stunted
недоразумение,misunderstanding/unpleasantness/upset
недосегаем,above reach/beyond reach/of reach/out reach
недостатък,blemish/defect/drawback/demerit/foible/flaw/failing/short coming
недостатъчен,air-tight/deficient/insufficient/low/scanty/scant
недостатъчност,poorness
недостиг,dearth/deficiency/lack/shortage
недостигам,lack
недостижим,out of reach
недостъпен,above reach/beyond reach/exclusive/out reach/of reach/prohibitive
недоумение,amazement
недохранване,malnutrition
недра,bowel/bosom/entrails
недружелюбен,unfriendly
недъгав,infirm
недълго,awhile
неедлив,inedible
нееднакъв,hummocky/patchy/unequal
неестествен,artificial/abnormal/frigid/preternatural/uncanny
нежелание,disinclination/reluctance/undesirable
нежелателен,objectionable/regretable/undesirable
нежен,affectionate/balmy/delicate/dainty/fond/fragile/gentle/loving/motherly/soft/tender
неженен,celibate/lone/single
нежност,endearment/gentleness/tenderness
незабавен,immediate/instant/speedy/swift
незабавно,at once/at a moment's/forthwith/immediately/straight away
незабележим,insensible/inappreciable/indiscernible/inconspicuous
незабелязан,furtive
незабравим,unforgettable
незабравка,forget-me-not
независим,absolute/detached/independent/self-sufficient
независимост,independence
незавършен,imperfect/sketchy
незагниващ,incorruptible
незадоволителен,dissatisfactory
незадължителен,optional
незает,idle/vacant
незаинтересован,disinterested
незаинтересованост,unconcern
незаконен,bastard/illicit/illegal/misbegotten
незакрепен,unstable
незапомнен,immemorial
незасят,fallow
незачитам,override
незачитане,disregard
незащитим,indefensible
нездрав,unsound
неземен,unearthly
незнаен,dark
незнание,ignorance
незначителен,fiddling/least/inappreciable/negligible/nugatory/petty/slight/trivial/trifling/unimportant
незрелост,crudity
незрял,callow/crude/green/half-baked/unfledged
неизбежен,inescapable/inevitable/resistless
неизбежност,inevitability
неизброим,countless
неизвестен,unknown
неизвестност,obscurity/suspense/uncertainty/unknown
неизвиним,inexcusable
неизкореним,ineradicable
неизкупим,inexpiable
неизлечим,incurable/irremediable
неизличим,ineffaceable
неизменен,fixed/eternal/invariable
неизменно,invariably
неизменност,permanence
неизменяем,immutable
неизмерим,fathomless/immeasurable
неизплатен,outstanding
неизправност,disrepair
